Profundidade [m],COT [%],S1 [mg HC/g rocha],S2 [mg HC/g rocha],S3 [mg CO2/g rocha],Tmáx [°C],IH [mg HC/g COT,IO [mg CO2/g COT],Ro [%],IH Calculado [mg HC/g COT],Cluster,Carbono Ativo [%],Carbono Inerte [%],IH₀ Ativo [mg HC/g COT],Ro [%]_ajustado,Taxa de Transformação [v/v],COT₀ [%],S2₀ [mg HC/g rocha],Rₒ calculada [%],IH₀ [mg HC/g COT]
4914,1.53,0.91,2.51,3.19,440,164.0523,208.4967,,164.05228758169932,1,1.5300000000000005,-5.295409196883467e-16,164.0522875816993,0.8732224685619059,0.34445061148041134,1.6434210637616053,3.8288495786233163,0.7599999999999989,232.9804371534287
4917,1.63,0.79,2.93,2.61,442,179.7546,160.1227,,179.75460122699388,2,1.6299999999999994,4.405923637034443e-16,179.7546012269939,0.8739785898778081,0.3470297606839239,1.7639181387328233,4.487187659683992,0.7959999999999994,254.38752293275536
4920,1.59,0.89,3.17,3.05,442,199.3711,191.8239,,199.3710691823899,2,1.5899999999999996,4.405923637034443e-16,199.37106918239,0.8747342500034918,0.3496157977843666,1.7365476228777978,4.874042126486021,0.7959999999999994,280.67425633906794
4923,1.52,0.85,2.9,2.21,442,190.7895,145.3947,,190.7894736842105,2,1.5199999999999996,4.405923637034443e-16,190.78947368421058,0.8754894495012131,0.3522086351195739,1.6556005009653625,4.476750011225145,0.7959999999999994,270.400377906071
4926,1.53,1.04,3.06,3.06,440,200.0,200.0,,200.0,2,1.5299999999999996,4.405923637034443e-16,200.00000000000006,0.8762441889322012,0.3548081845742246,1.6747187016638383,4.742775600742305,0.7599999999999989,283.1983422666948
4929,1.67,0.81,3.19,3.1,443,191018,185.6287,,191.01796407185628,2,1.6699999999999995,4.405923637034443e-16,191.01796407185634,0.8769984688566552,0.3574143575831741,1.8225914187727275,4.964318822938691,0.8139999999999992,272.3769448163812
4932,1.76,0.97,3.56,3.32,441,202.2727,188.6364,,202.27272727272728,2,1.7599999999999996,4.405923637034443e-16,202.2727272727273,0.8777522898337615,0.36002706513498595,1.932235230986724,5.562735244031673,0.7779999999999996,287.89120262500245
4935,1.63,1.29,3.53,3.92,440,216.5644,240.4908,,216.5644171779141,2,1.6299999999999994,4.405923637034443e-16,216.56441717791418,0.8785056524216746,0.36264621777545614,1.8027331693365345,5.5385252248434265,0.7599999999999989,307.2293403733059
4938,1.87,1.01,3.49,3.93,441,186631,210.1604,,186.6310160427808,2,1.8699999999999997,4.405923637034443e-16,186.63101604278077,0.8792585571775415,0.3652717256112936,2.042723762511696,5.4984158431592585,0.7779999999999996,269.17079754330103
4941,1.95,1.06,3.84,3.67,441,196.9231,188.2051,,196.9230769230769,2,1.9499999999999995,4.405923637034443e-16,196.92307692307696,0.88001100465749,0.36790349831312597,2.142211871065082,6.0750217565707185,0.7779999999999996,283.5864107853296
4944,2.14,1.14,4.35,3.18,441,203271,148.5981,,203.2710280373832,2,2.1399999999999997,4.405923637034443e-16,203.2710280373832,0.8807629954166316,0.3705414451194784,2.3602203044893217,6.910701214992112,0.7779999999999996,292.79899007086004
4947,2.24,1.06,4.56,3.31,441,203.5714,147.7679,,203.57142857142853,2,2.2399999999999998,4.405923637034443e-16,203.57142857142856,0.8815145300090741,0.37318547483987174,2.473479617875507,7.274879277622174,0.7779999999999996,294.11518999580966
4950,2.01,1.03,4.21,3.09,443,209.4527,153.7313,,209.452736318408,2,2.0099999999999993,4.405923637034443e-16,209.45273631840803,0.8822656089879111,0.37583549585832543,2.228011435651231,6.745016693618967,0.8139999999999992,302.7370769148431
4953,2.21,0.18,4.45,2.28,437,201.3575,103.1674,,201.3574660633484,2,2.2099999999999995,4.405923637034443e-16,201.35746606334845,0.8830162329052396,0.3784914161368036,2.4430597979117183,7.159997650136258,0.7059999999999995,293.0750060336833
4956,2.49,1.13,5.44,3.59,441,218.4739,144.1767,,218.47389558232933,2,2.4899999999999998,4.405923637034443e-16,218.47389558232933,0.8837664023121423,0.38115314321841254,2.7781467112084517,8.790543153586647,0.7779999999999996,316.4175282076048
4959,2.71,1.06,5.49,3.3,442,202583,121.7712,,202.58302583025832,2,2.7099999999999995,4.405923637034443e-16,202.58302583025835,0.8845161177587126,0.3838205842310316,3.0040978650068784,8.90974261635905,0.7959999999999994,296.5862970092903
4962,2.29,0.21,5.25,2.32,437,229.2577,101.31,0.9,229.25764192139732,2,2.2899999999999996,4.405923637034443e-16,229.2576419213974,0.8852653797940384,0.38649364589041113,2.5744336981200195,8.557368582790925,0.7059999999999995,332.39809551280905
4965,2.52,1.1,5.44,2.9,441,215873,115.0794,,215.8730158730159,2,2.5199999999999996,4.405923637034443e-16,215.8730158730159,0.8860141889662163,0.3891722345036186,2.818071483443808,8.905947481904745,0.7779999999999996,316.0298641900057
4968,2.53,0.92,5.51,2.49,443,217.7866,98419,,217.78656126482213,2,2.5299999999999994,4.405923637034443e-16,217.78656126482218,0.8867625458223447,0.3918562559722645,2.8353307828593706,9.060357940225241,0.8139999999999992,319.55206055668975
4971,2.28,1.08,4.76,2.66,443,208.7719,116.6667,,208.77192982456145,2,2.2799999999999994,4.405923637034443e-16,208.77192982456145,0.8875104509085343,0.39454561579589154,2.5467603001909356,7.8618639557085555,0.8139999999999992,308.70058541116475
4974,2.49,0.97,5.72,2.72,443,229.7189,109.2369,,229.718875502008,2,2.4899999999999998,4.405923637034443e-16,229.71887550200805,0.88825790476991,0.39724021907505147,2.814192845560362,9.489684250701881,0.8139999999999992,337.20802985028894
4977,2.32,0.99,4.1,3.54,444,176.7241,152.5862,,176.72413793103448,2,2.3199999999999994,4.405923637034443e-16,176.7241379310345,0.8890049079506053,0.39993997051473684,2.5550078770026783,6.832649732589282,0.831999999999999,267.42186566582234
4980,2.43,1.02,4.63,3.11,443,190535,127.9835,,190.5349794238683,2,2.4299999999999997,4.405923637034443e-16,190.53497942386832,0.8897514609937716,0.40264477442752167,2.6983915523261763,7.750832003792746,0.8139999999999992,287.23896638021495
4983,2.67,1.15,5.92,2.06,443,221.7228,77.1535,,221.7228464419476,2,2.6699999999999995,4.405923637034443e-16,221.7228464419476,0.8904975644415867,0.40535453473688676,3.017054022574492,9.95551189040107,0.8139999999999992,329.9745982641007
4986,2.43,1.11,4.84,2.2,443,199177,90535,,199.17695473251027,2,2.4299999999999997,4.405923637034443e-16,199.17695473251032,0.8912432188352355,0.4080691549800406,2.7169502518713395,8.176630835713247,0.8139999999999992,300.948860954722
